InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00,3.75,12583.0,France
536370,22727,ALARM CLOCK BAKELIKE RED ,24,2010-12-01 08:45:00,3.75,12583.0,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00,3.75,12583.0,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 08:45:00,0.85,12583.0,France
536370,21883,STARS GIFT TAPE ,24,2010-12-01 08:45:00,0.65,12583.0,France
536370,10002,INFLATABLE POLITICAL GLOBE ,48,2010-12-01 08:45:00,0.85,12583.0,France
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,2010-12-01 08:45:00,1.25,12583.0,France
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,2010-12-01 08:45:00,2.95,12583.0,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2010-12-01 08:45:00,2.95,12583.0,France
536370,22629,SPACEBOY LUNCH BOX ,24,2010-12-01 08:45:00,1.95,12583.0,France
536370,22659,LUNCH BOX I LOVE LONDON,24,2010-12-01 08:45:00,1.95,12583.0,France
536370,22631,CIRCUS PARADE LUNCH BOX ,24,2010-12-01 08:45:00,1.95,12583.0,France
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00,0.85,12583.0,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-01 08:45:00,1.65,12583.0,France
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,2010-12-01 08:45:00,2.95,12583.0,France
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-12-01 08:45:00,3.75,12583.0,France
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,2010-12-01 08:45:00,0.42,12583.0,France
536370,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 08:45:00,0.42,12583.0,France
536370,22492,MINI PAINT SET VINTAGE ,36,2010-12-01 08:45:00,0.65,12583.0,France
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,2010-12-01 10:03:00,8.5,12431.0,Australia
536389,21622,VINTAGE UNION JACK CUSHION COVER,8,2010-12-01 10:03:00,4.95,12431.0,Australia
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-12-01 10:03:00,1.25,12431.0,Australia
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,2010-12-01 10:03:00,5.45,12431.0,Australia
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,2010-12-01 10:03:00,6.35,12431.0,Australia
536389,85014B,RED RETROSPOT UMBRELLA,6,2010-12-01 10:03:00,5.95,12431.0,Australia
536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2010-12-01 10:03:00,5.95,12431.0,Australia
536389,22193,RED DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431.0,Australia
536389,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 10:03:00,3.75,12431.0,Australia
536389,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-01 10:03:00,3.75,12431.0,Australia
536389,22192,BLUE DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431.0,Australia
536389,22191,IVORY DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431.0,Australia
536389,22195,LARGE HEART MEASURING SPOONS,24,2010-12-01 10:03:00,1.65,12431.0,Australia
536389,22196,SMALL HEART MEASURING SPOONS,24,2010-12-01 10:03:00,0.85,12431.0,Australia
536403,22867,HAND WARMER BIRD DESIGN,96,2010-12-01 11:27:00,1.85,12791.0,Netherlands
536527,22809,SET OF 6 T-LIGHTS SANTA,6,2010-12-01 13:04:00,2.95,12662.0,Germany
536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2010-12-01 13:04:00,2.55,12662.0,Germany
536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2010-12-01 13:04:00,0.85,12662.0,Germany
536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,2010-12-01 13:04:00,1.65,12662.0,Germany
536527,22244,3 HOOK HANGER MAGIC GARDEN,12,2010-12-01 13:04:00,1.95,12662.0,Germany
536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,2010-12-01 13:04:00,1.65,12662.0,Germany
536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,2010-12-01 13:04:00,0.42,12662.0,Germany
536527,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-12-01 13:04:00,1.95,12662.0,Germany
536527,20713,JUMBO BAG OWLS,10,2010-12-01 13:04:00,1.95,12662.0,Germany
536527,22837,HOT WATER BOTTLE BABUSHKA ,4,2010-12-01 13:04:00,4.65,12662.0,Germany
536527,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 13:04:00,1.45,12662.0,Germany
536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,2010-12-01 13:04:00,1.65,12662.0,Germany
536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,2010-12-01 13:04:00,1.25,12662.0,Germany
536527,22549,PICTURE DOMINOES,12,2010-12-01 13:04:00,1.45,12662.0,Germany
536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22444,GROW YOUR OWN PLANT IN A CAN ,96,2010-12-01 13:24:00,1.06,12433.0,Norway
536532,22899,CHILDREN'S APRON DOLLY GIRL ,8,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,21156,RETROSPOT CHILDRENS APRON,8,2010-12-01 13:24:00,1.95,12433.0,Norway
536532,22556,PLASTERS IN TIN CIRCUS PARADE ,24,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,22555,PLASTERS IN TIN STRONGMAN,36,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,22553,PLASTERS IN TIN SKULLS,24,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,22551,PLASTERS IN TIN SPACEBOY,24,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,22547,MINI JIGSAW DINOSAUR ,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22543,MINI JIGSAW BAKE A CAKE ,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22540,MINI JIGSAW CIRCUS PARADE ,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22539,MINI JIGSAW DOLLY GIRL,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22534,MAGIC DRAWING SLATE SPACEBOY ,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22530,MAGIC DRAWING SLATE DOLLY GIRL ,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22561,WOODEN SCHOOL COLOURING SET,24,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22814,CARD PARTY GAMES ,12,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,21520,BOOZE & WOMEN GREETING CARD ,12,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22716,CARD CIRCUS PARADE,12,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,22632,HAND WARMER RED RETROSPOT,12,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,22865,HAND WARMER OWL DESIGN,12,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-01 13:24:00,3.95,12433.0,Norway
536532,21982,PACK OF 12 SUKI TISSUES ,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,21981,PACK OF 12 WOODLAND TISSUES ,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,21967,PACK OF 12 SKULL TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,22092,BLUE PAISLEY TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,21983,PACK OF 12 BLUE PAISLEY TISSUES ,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,22615,PACK OF 12 CIRCUS PARADE TISSUES ,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,21980,PACK OF 12 RED RETROSPOT TISSUES ,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,22614,PACK OF 12 SPACEBOY TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,22095,LADS ONLY TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,22094,RED RETROSPOT TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,21984,PACK OF 12 PINK PAISLEY TISSUES ,48,2010-12-01 13:24:00,0.29,12433.0,Norway
536532,22557,PLASTERS IN TIN VINTAGE PAISLEY ,36,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,21786,POLKADOT RAIN HAT ,24,2010-12-01 13:24:00,0.42,12433.0,Norway
536532,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,36,2010-12-01 13:24:00,0.85,12433.0,Norway
536532,22963,JAM JAR WITH GREEN LID,12,2010-12-01 13:24:00,0.85,12433.0,Norway
536532,22962,JAM JAR WITH PINK LID,12,2010-12-01 13:24:00,0.85,12433.0,Norway
536532,22961,JAM MAKING SET PRINTED,24,2010-12-01 13:24:00,1.45,12433.0,Norway
536532,84375,SET OF 20 KIDS COOKIE CUTTERS,24,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,22966,GINGERBREAD MAN COOKIE CUTTER,24,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,21874,GIN AND TONIC MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,21873,IF YOU CAN'T STAND THE HEAT MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,21870,I CAN ONLY PLEASE ONE PERSON MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,22956,36 FOIL HEART CAKE CASES,12,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,84050,PINK HEART SHAPE EGG FRYING PAN,72,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
536532,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
536532,21213,PACK OF 72 SKULL CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
536532,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
536532,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
536532,22198,LARGE POPCORN HOLDER ,48,2010-12-01 13:24:00,1.65,12433.0,Norway
536532,22197,SMALL POPCORN HOLDER,72,2010-12-01 13:24:00,0.85,12433.0,Norway
536532,22315,200 RED + WHITE BENDY STRAWS,12,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,22667,RECIPE BOX RETROSPOT ,12,2010-12-01 13:24:00,2.95,12433.0,Norway
536532,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2010-12-01 13:24:00,2.95,12433.0,Norway
536532,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,12,2010-12-01 13:24:00,2.95,12433.0,Norway
536532,22558,CLOTHES PEGS RETROSPOT PACK 24 ,24,2010-12-01 13:24:00,1.49,12433.0,Norway
536532,22567,20 DOLLY PEGS RETROSPOT,24,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,85150,LADIES & GENTLEMEN METAL SIGN,12,2010-12-01 13:24:00,2.55,12433.0,Norway
536532,21166,COOK WITH WINE METAL SIGN ,12,2010-12-01 13:24:00,1.95,12433.0,Norway
536532,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,82600,NO SINGING METAL SIGN,24,2010-12-01 13:24:00,2.1,12433.0,Norway
536532,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-12-01 13:24:00,2.95,12433.0,Norway
536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433.0,Norway
536532,22842,BISCUIT TIN VINTAGE RED,6,2010-12-01 13:24:00,6.75,12433.0,Norway
536532,22494,EMERGENCY FIRST AID TIN ,24,2010-12-01 13:24:00,1.25,12433.0,Norway
536532,21260,FIRST AID TIN,12,2010-12-01 13:24:00,3.25,12433.0,Norway
536840,22961,JAM MAKING SET PRINTED,12,2010-12-02 18:27:00,1.45,12738.0,Germany
536840,22962,JAM JAR WITH PINK LID,12,2010-12-02 18:27:00,0.85,12738.0,Germany
